"Order date","Sold-to Party","Ship-to Party","Customer PO No","Sales Order No","Item","Material No","Material Description","Sales UoM","Order Quantity","Delivery Creation Qty","Order Value","Plant","Item Barcode","Order status"
"20230706","2002921582","2002921587","1355764358","115329554","20","80682898","##############54#","CS","145","145","49,373.95","C816","6.90315E+12","50"
"20230706","2002921582","2002921589","1355764038","115329548","20","80682898","##############54#","CS","288","288","98,066.88","C816","6.90315E+12","50"
"20230706","2002921582","2002921590","1355765219","115329346","20","80682898","##############54#","CS","59","59","20,090.09","D191","6.90315E+12","30"
"20230706","2002921582","2003237263","1355765795","115329493","20","80682898","##############54#","CS","32","32","10,896.32","C816","6.90315E+12","50"
"20230706","2002921577","2002921598","1355765705","115329237","20","80682898","##############54#","CS","84","84","28,602.84","A673","6.90315E+12","30"
"20230706","2002921600","2002921601","1355765070","115329356","20","80682899","##############46#","CS","83","83","28,262.33","A680","6.90315E+12","50"
"20230706","2002921600","2003190193","1355765002","115329507","30","80682899","##############46#","CS","103","103","35,072.53","A680","6.90315E+12","30"
"20230706","2002921603","2002941103","1355764618","115329638","30","80682899","##############46#","CS","53","53","18,047.03","A668","6.90315E+12","30"
"20230706","2002921607","2002930241","1355764149","115329438","30","80682899","##############46#","CS","24","24","8,172.24","A715","6.90315E+12","50"
"20230706","2002921611","2002941153","1355764262","115329642","20","80682899","##############46#","CS","42","42","14,301.42","A716","6.90315E+12","30"
"20230706","2002920557","2002921482","1355766148","115329268","30","80682899","##############46#","CS","28","28","9,534.28","D352","6.90315E+12","30"
"20230706","2002920557","2003213268","1355764815","115329355","20","80682899","##############46#","CS","20","20","6,810.20","D352","6.90315E+12","30"
"20230706","2002921582","2002921587","1355764356","115329649","30","80682899","##############46#","CS","82","82","27,921.82","C816","6.90315E+12","50"
"20230706","2002921582","2002921589","1355764032","115329608","20","80682899","##############46#","CS","103","103","35,072.53","C816","6.90315E+12","50"
"20230706","2002921582","2002921590","1355765225","115329559","30","80682899","##############46#","CS","78","78","26,559.78","C816","6.90315E+12","30"
"20230706","2002921582","2003237263","1355765804","115329332","20","80682899","##############46#","CS","59","59","20,090.09","C816","6.90315E+12","50"
"20230706","2002921577","2002921598","1355765707","115329223","30","80682899","##############46#","CS","5","5","1,702.55","A673","6.90315E+12","50"
"20230706","2002921577","2002921598","1355778432","115330018","10","80682899","##############46#","CS","116","116","39,499.16","A673","6.90315E+12","30"
"20230706","2002921577","2002942308","1355765971","115329484","30","80682899","##############46#","CS","116","116","39,499.16","A673","6.90315E+12","40"
"20230706","2002921577","2002942308","1355778952","115329508","20","80682899","##############46#","CS","8","8","2,724.08","A673","6.90315E+12","50"
"20230706","2002921600","2002921601","1355765055","115329588","20","80682901","###############38#","CS","20","20","6,810.20","A680","6.90315E+12","50"
"20230706","2002921600","2003190193","1355764981","115329365","20","80682901","###############38#","CS","62","62","21,111.62","A680","6.90315E+12","30"
"20230706","2002921607","2002921675","1355763793","115329350","20","80682901","###############38#","CS","2","2","681.04","A715","6.90315E+12","30"
"20230706","2002921607","2002930241","1355779033","115329958","20","80682901","###############38#","CS","45","45","15,322.95","A715","6.90315E+12","50"
"20230706","2002921611","2002941153","1355764258","115329660","10","80682901","###############38#","CS","27","27","9,193.77","A716","6.90315E+12","30"
"20230706","2002920557","2002921480","1355765112","115329363","20","80682901","###############38#","CS","26","26","8,853.26","A672","6.90315E+12","30"
"20230706","2002920557","2002921482","1355766168","115329296","20","80682901","###############38#","CS","14","14","4,767.14","D352","6.90315E+12","30"
"20230706","2002920557","2003213268","1355764819","115329339","30","80682901","###############38#","CS","20","20","6,810.20","D352","6.90315E+12","30"
"20230706","2002920557","2003213268","1355778886","115329377","20","80682901","###############38#","CS","60","60","20,430.60","D352","6.90315E+12","30"
"20230706","2002920557","2003222613","1355765585","115329291","10","80682901","###############38#","CS","12","12","4,086.12","D352","6.90315E+12","30"
"20230706","2002920557","2003222613","1355778921","115329965","20","80682901","###############38#","CS","53","53","18,047.03","D352","6.90315E+12","30"
"20230706","2002921582","2002921587","1355764370","115329598","30","80682901","###############38#","CS","23","23","7,831.73","C816","6.90315E+12","50"
"20230706","2002921582","2002921589","1355764044","115329533","10","80682901","###############38#","CS","77","77","26,219.27","C816","6.90315E+12","30"
"20230706","2002921582","2002921589","1355779645","115329691","20","80682901","###############38#","CS","98","98","33,369.98","C816","6.90315E+12","50"
"20230706","2002921577","2002921598","1355778456","115329534","10","80682901","###############38#","CS","47","47","16,003.97","A673","6.90315E+12","40"
"20230706","2002921600","2003190193","1355764999","115329539","10","80682902","#########JVD##72#","CS","15","15","6,810.30","A680","6.90315E+12","30"
"20230706","2002921600","2003224920","1355765317","115329449","10","80682902","#########JVD##72#","CS","3","3","1,362.06","A680","6.90315E+12","30"
"20230706","2002921611","2002941153","1355764256","115329636","30","80682902","#########JVD##72#","CS","1","1","454.02","A716","6.90315E+12","30"
"20230706","2002920557","2002921480","1355765111","115329364","20","80682902","#########JVD##72#","CS","4","4","1,816.08","A672","6.90315E+12","30"
"20230706","2002920557","2002921482","1355766170","115329300","10","80682902","#########JVD##72#","CS","12","12","5,448.24","A672","6.90315E+12","30"
"20230706","2002920557","2003175465","1355763709","115329324","20","80682902","#########JVD##72#","CS","3","3","1,362.06","A672","6.90315E+12","30"
"20230706","2002920557","2003213268","1355764816","115329311","10","80682902","#########JVD##72#","CS","31","31","14,074.62","A672","6.90315E+12","30"
"20230706","2002920557","2003222613","1355765591","115329286","20","80682902","#########JVD##72#","CS","14","14","6,356.28","A672","6.90315E+12","30"
"20230706","2002921582","2002921587","1355764356","115329649","10","80682902","#########JVD##72#","CS","26","26","11,804.52","C816","6.90315E+12","50"
"20230706","2002921582","2002921590","1355765263","115329476","20","80682902","#########JVD##72#","CS","14","14","6,356.28","C816","6.90315E+12","30"
"20230706","2002921582","2003237263","1355765802","115329439","20","80682902","#########JVD##72#","CS","6","6","2,724.12","C816","6.90315E+12","50"
"20230706","2002921577","2002921598","1355765725","115329294","10","80682902","#########JVD##72#","CS","4","4","1,816.08","A673","6.90315E+12","30"
"20230706","2002921577","2002940980","1355763886","115329272","20","80682902","#########JVD##72#","CS","3","3","1,362.06","A673","6.90315E+12","30"
"20230706","2002921600","2003190193","1355764998","115329573","20","80682908","#########JVD##62#","CS","8","8","3,670.32","A680","6.90315E+12","30"
"20230706","2002921611","2002941153","1355764264","115329650","20","80682908","#########JVD##62#","CS","7","7","3,211.53","A716","6.90315E+12","30"
"20230706","2002920557","2002921480","1355765115","115329279","10","80682908","#########JVD##62#","CS","3","3","1,376.37","A672","6.90315E+12","30"
"20230706","2002920557","2002921482","1355766153","115329260","10","80682908","#########JVD##62#","CS","7","7","3,211.53","A672","6.90315E+12","30"
"20230706","2002920557","2003213268","1355764804","115329341","10","80682908","#########JVD##62#","CS","1","1","458.79","A672","6.90315E+12","30"
"20230706","2002920557","2003222613","1355765592","115329220","10","80682908","#########JVD##62#","CS","5","5","2,293.95","A672","6.90315E+12","30"
"20230706","2002921582","2002921587","1355764370","115329598","20","80682908","#########JVD##62#","CS","9","9","4,129.11","C816","6.90315E+12","50"
"20230706","2002921582","2002921590","1355765237","115329340","20","80682908","#########JVD##62#","CS","5","5","2,293.95","C816","6.90315E+12","40"
"20230706","2002921577","2002921598","1355765707","115329223","10","80682908","#########JVD##62#","CS","11","11","5,046.69","A673","6.90315E+12","50"
"20230706","2002921577","2002942308","1355765978","115329450","10","80682908","#########JVD##62#","CS","12","12","5,505.48","A673","6.90315E+12","50"
