VBELN,POSNR,MATNR,KDMAT
0115347690,1180,000000000080691427,80691427
0115347690,1190,000000000080691428,80691428
0115347690,1200,000000000080691429,80691429
0115347690,1210,000000000080708710,80708710
0115347690,1220,000000000080740681,80740681
0115347690,1230,000000000082315678,82315678
0115347690,1231,000000000082315678,82315678
0115347690,1240,000000000080739142,80739142
0115347690,1250,000000000080720847,80720847
0115347690,1260,000000000080720846,80720846
0115347690,1270,000000000080745856,80745856
0115347690,1280,000000000080730540,80730540
0115347690,1281,000000000080730540,80730540
0115347690,1290,000000000080686700,80686700
0115347690,1291,000000000080686700,80686700
0115347690,1300,000000000080686710,80686710
0115347690,1301,000000000080686710,80686710
0115347690,1310,000000000080686723,80686723
0115347690,1311,000000000080686723,80686723
0115347690,1320,000000000080752128,80752128
0115347690,1330,000000000080685110,80685110
0115347690,1331,000000000080685110,80685110
0115347690,1340,000000000080700302,80700302
0115347690,1341,000000000080700302,80700302
0115347690,1350,000000000080722871,80722871
0115347690,1360,000000000080685123,80685123
0115347690,1361,000000000080685123,80685123
0115347690,1370,000000000080685115,80685115
0115347690,1371,000000000080685115,80685115
0115347690,1380,000000000080685124,80685124
0115347690,1381,000000000080685124,80685124
0115347690,1390,000000000080739185,80739185
0115347690,1400,000000000080739186,80739186
0115347690,1410,000000000080739188,80739188
0115347690,1420,000000000080739190,80739190
0115347690,1430,000000000082325796,82325796
0115347690,1440,000000000082325798,82325798
0115347690,1450,000000000082325799,82325799
0115347690,1460,000000000080718778,80718778
0115347690,1470,000000000080714022,80714022
0115347690,1480,000000000080714023,80714023
0115347690,1490,000000000080718664,80718664
0115347690,1500,000000000080718773,80718773
0115347690,1510,000000000080719200,80719200
0115347690,1520,000000000080720978,80720978
0115347690,1530,000000000080721899,80721899
0115347690,1531,000000000080721899,80721899
0115347690,1540,000000000080742607,80742607
0115347690,1541,000000000080742607,80742607
0115347690,1550,000000000080725751,80725751
0115347690,1551,000000000080725751,80725751
0115347690,1560,000000000080745605,80745605
0115347690,1570,000000000082322606,82322606
0115347690,1571,000000000082322606,82322606
0115347690,1580,000000000082322607,82322607
0115347690,1581,000000000082322607,82322607
0115347690,1590,000000000080741799,80741799
0115347690,1600,000000000080742583,80742583
0115347690,1610,000000000080742582,80742582
0115347690,1620,000000000080742584,80742584
0115347690,1630,000000000080738849,80738849
0115347690,1640,000000000080738854,80738854
0115347690,1650,000000000080730506,80730506
0115347690,1651,000000000080730506,80730506
0115347690,1660,000000000080730492,80730492
0115347690,1670,000000000080686724,80686724
0115347690,1671,000000000080686724,80686724
0115347690,1680,000000000080730536,80730536
0115347690,1690,000000000080686694,80686694
0115347690,1691,000000000080686694,80686694
0115347690,1700,000000000080731768,80731768
0115347690,1701,000000000080731768,80731768
0115347690,1710,000000000080714020,80714020
0115347690,1720,000000000080730505,80730505
0115347690,1721,000000000080730505,80730505
0115347690,1730,000000000080696554,80696554
0115347690,1731,000000000080696554,80696554
0115347690,1740,000000000080730501,80730501
0115347690,1741,000000000080730501,80730501
0115347690,1750,000000000080686739,80686739
0115347690,1751,000000000080686739,80686739
